state_fips,district,income,avg_income_ALL,pre-tcja-tax,current-law-tax,total_returns
6,20,4,86583.0,71993.0,73632.0,13969.0
6,20,5,136548.0,110241.0,112693.0,21973.0
6,20,6,491220.0,366700.0,392358.0,10594.0
6,21,0,5844.0,6308.0,6328.0,38214.0
6,21,1,17209.0,19144.0,19274.0,82144.0
6,21,2,35636.0,34625.0,35771.0,72665.0
6,21,3,61363.0,53243.0,54781.0,34160.0
6,21,4,86321.0,71830.0,73482.0,20764.0
6,21,5,133634.0,107740.0,110121.0,27438.0
6,21,6,472685.0,349978.0,374537.0,6935.0
6,22,0,5862.0,6353.0,6377.0,40577.0
6,22,1,17148.0,19279.0,19403.0,85985.0
6,22,2,35492.0,34598.0,35751.0,76291.0
6,22,3,61225.0,53243.0,54802.0,33414.0
6,22,4,86399.0,72106.0,73793.0,19349.0
6,22,5,134049.0,108397.0,110896.0,24919.0
6,22,6,471951.0,348960.0,372714.0,7072.0
6,23,0,5834.0,6258.0,6277.0,101424.0
6,23,1,17092.0,19009.0,19137.0,193779.0
6,23,2,35695.0,34651.0,35788.0,178554.0
6,23,3,61412.0,53123.0,54612.0,89648.0
6,23,4,86437.0,71805.0,73421.0,54828.0
6,23,5,134255.0,108070.0,110382.0,77244.0
6,23,6,469556.0,347625.0,369757.0,28922.0
6,24,0,5341.0,5579.0,5599.0,21816.0
6,24,1,17480.0,18085.0,18259.0,37356.0
6,24,2,36013.0,33588.0,34536.0,44093.0
6,24,3,61472.0,52775.0,54168.0,23599.0
6,24,4,86633.0,72300.0,73937.0,15091.0
6,24,5,136699.0,111067.0,113564.0,23667.0
6,24,6,540166.0,406582.0,434340.0,9627.0
6,25,0,5451.0,5664.0,5682.0,558323.0
6,25,1,17183.0,18564.0,18708.0,972839.0
6,25,2,35962.0,33992.0,35025.0,934383.0
6,25,3,61389.0,51648.0,52892.0,480083.0
6,25,4,86521.0,71047.0,72679.0,291776.0
6,25,5,137195.0,109802.0,112113.0,427667.0
6,25,6,605637.0,443173.0,464258.0,195524.0
6,26,0,5303.0,5501.0,5518.0,59740.0
6,26,1,17409.0,18408.0,18542.0,98317.0
6,26,2,35935.0,34136.0,35166.0,106457.0
6,26,3,61606.0,52199.0,53392.0,57803.0
6,26,4,86814.0,72071.0,73610.0,39487.0
6,26,5,138093.0,111532.0,113773.0,67424.0
6,26,6,465765.0,343699.0,364874.0,28603.0
6,27,0,5488.0,5710.0,5728.0,640039.0
6,27,1,17133.0,18602.0,18747.0,1117084.0
6,27,2,35967.0,33981.0,35018.0,1070181.0
6,27,3,61346.0,51601.0,52861.0,549382.0
6,27,4,86457.0,70873.0,72516.0,333058.0
6,27,5,136884.0,109388.0,111706.0,485689.0
6,27,6,625155.0,457163.0,478260.0,221600.0
6,28,0,5482.0,5698.0,5715.0,661630.0
6,28,1,17136.0,18597.0,18742.0,1154040.0
6,28,2,35967.0,33962.0,34996.0,1105930.0
6,28,3,61344.0,51534.0,52788.0,567580.0
6,28,4,86460.0,70835.0,72487.0,344050.0
6,28,5,137009.0,109443.0,111769.0,502310.0
6,28,6,634619.0,463784.0,484851.0,230110.0
6,29,0,5482.0,5698.0,5715.0,661630.0
6,29,1,17136.0,18597.0,18742.0,1154040.0
6,29,2,35967.0,33962.0,34996.0,1105930.0
6,29,3,61344.0,51534.0,52788.0,567580.0
6,29,4,86460.0,70835.0,72487.0,344050.0
6,29,5,137009.0,109443.0,111769.0,502310.0
6,29,6,634619.0,463784.0,484851.0,230110.0
6,30,0,5482.0,5698.0,5715.0,660470.0
6,30,1,17137.0,18597.0,18742.0,1152005.0
6,30,2,35967.0,33962.0,34997.0,1104004.0
6,30,3,61345.0,51535.0,52789.0,566597.0
6,30,4,86461.0,70837.0,72489.0,343463.0
6,30,5,137011.0,109448.0,111773.0,501472.0
6,30,6,634294.0,463553.0,484620.0,229722.0
6,31,0,5641.0,5998.0,6015.0,125880.0
6,31,1,17056.0,18724.0,18860.0,237020.0
6,31,2,35958.0,34451.0,35545.0,218860.0
6,31,3,61387.0,53187.0,54608.0,116020.0
6,31,4,86397.0,71780.0,73220.0,71290.0
6,31,5,133912.0,108079.0,110208.0,89870.0
6,31,6,399769.0,299472.0,321301.0,18940.0
6,32,0,5482.0,5698.0,5715.0,661630.0
6,32,1,17136.0,18597.0,18742.0,1154040.0
6,32,2,35967.0,33962.0,34996.0,1105930.0
6,32,3,61344.0,51534.0,52788.0,567580.0
6,32,4,86460.0,70835.0,72487.0,344050.0
6,32,5,137009.0,109443.0,111769.0,502310.0
6,32,6,634619.0,463784.0,484851.0,230110.0
6,33,0,5482.0,5698.0,5715.0,661630.0
6,33,1,17136.0,18597.0,18742.0,1154040.0
6,33,2,35967.0,33962.0,34996.0,1105930.0
6,33,3,61344.0,51534.0,52788.0,567580.0
6,33,4,86460.0,70835.0,72487.0,344050.0
6,33,5,137009.0,109443.0,111769.0,502310.0
6,33,6,634619.0,463784.0,484851.0,230110.0
6,34,0,5482.0,5698.0,5715.0,661630.0
6,34,1,17136.0,18597.0,18742.0,1154040.0
6,34,2,35967.0,33962.0,34996.0,1105930.0
6,34,3,61344.0,51534.0,52788.0,567580.0
6,34,4,86460.0,70835.0,72487.0,344050.0
6,34,5,137009.0,109443.0,111769.0,502310.0
6,34,6,634619.0,463784.0,484851.0,230110.0
6,35,0,5605.0,5930.0,5947.0,246692.0
6,35,1,17074.0,18695.0,18834.0,443808.0
6,35,2,35960.0,34341.0,35421.0,418894.0
6,35,3,61377.0,52814.0,54198.0,217847.0
6,35,4,86411.0,71567.0,73055.0,132797.0
6,35,5,134610.0,108386.0,110560.0,182875.0
6,35,6,452728.0,336524.0,358181.0,66559.0
6,36,0,5540.0,5836.0,5853.0,128420.0
6,36,1,17203.0,18802.0,18936.0,246860.0
6,36,2,35878.0,34539.0,35612.0,232320.0
6,36,3,61526.0,53549.0,54905.0,124880.0
6,36,4,86593.0,72311.0,73660.0,82290.0
6,36,5,134683.0,109081.0,111096.0,114460.0
6,36,6,376014.0,283228.0,303114.0,27000.0
6,37,0,5482.0,5698.0,5715.0,661630.0
6,37,1,17136.0,18597.0,18742.0,1154040.0
6,37,2,35967.0,33962.0,34996.0,1105930.0
6,37,3,61344.0,51534.0,52788.0,567580.0
6,37,4,86460.0,70835.0,72487.0,344050.0
6,37,5,137009.0,109443.0,111769.0,502310.0
6,37,6,634619.0,463784.0,484851.0,230110.0
6,38,0,5477.0,5693.0,5710.0,652405.0
6,38,1,17138.0,18592.0,18737.0,1137290.0
6,38,2,35970.0,33963.0,34997.0,1090446.0
6,38,3,61348.0,51541.0,52794.0,559965.0
6,38,4,86466.0,70851.0,72501.0,339715.0
6,38,5,137052.0,109493.0,111816.0,496820.0
6,38,6,632774.0,462453.0,483585.0,227782.0
6,39,0,5360.0,5581.0,5597.0,324400.0
6,39,1,17196.0,18460.0,18603.0,547924.0
6,39,2,36042.0,34067.0,35091.0,541272.0
6,39,3,61469.0,51924.0,53172.0,288179.0
6,39,4,86644.0,71413.0,72996.0,183235.0
6,39,5,137958.0,110771.0,113023.0,291221.0
