,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi_before_business_income_deduction,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
33,340.0,19.5075,19.5075,255.0,255.0,325.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,102.0,0.0,-102.0,-82.49,-62.99,-0.2426,-0.3
34,350.0,20.081249999999997,20.081249999999997,262.5,262.5,334.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,105.0,0.0,-105.0,-84.92,-64.84,-0.2426,-0.3
35,360.0,20.654999999999998,20.654999999999998,270.0,270.0,344.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,108.0,0.0,-108.0,-87.34,-66.69,-0.2426,-0.3
36,370.0,21.228749999999998,21.228749999999998,277.5,277.5,353.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,111.0,0.0,-111.0,-89.77,-68.54,-0.2426,-0.3
37,380.0,21.8025,21.8025,285.0,285.0,363.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,114.0,0.0,-114.0,-92.2,-70.4,-0.2426,-0.3
38,390.0,22.376250000000002,22.376250000000002,292.5,292.5,372.9375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,117.0,0.0,-117.0,-94.62,-72.25,-0.2426,-0.3
39,400.0,22.950000000000003,22.950000000000003,300.0,300.0,382.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,120.0,0.0,-120.0,-97.05,-74.1,-0.2426,-0.3
40,410.0,23.52375,23.52375,307.5,307.5,392.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,123.0,0.0,-123.0,-99.48,-75.95,-0.2426,-0.3
41,420.0,24.0975,24.0975,315.0,315.0,401.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,126.0,0.0,-126.0,-101.9,-77.81,-0.2426,-0.3
42,430.0,24.67125,24.67125,322.5,322.5,411.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,129.0,0.0,-129.0,-104.33,-79.66,-0.2426,-0.3
43,440.0,25.245,25.245,330.0,330.0,420.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,132.0,0.0,-132.0,-106.75,-81.51,-0.2426,-0.3
44,450.0,25.81875,25.81875,337.5,337.5,430.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,135.0,0.0,-135.0,-109.18,-83.36,-0.2426,-0.3
45,460.0,26.392500000000002,26.392500000000002,345.0,345.0,439.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,138.0,0.0,-138.0,-111.61,-85.22,-0.2426,-0.3
46,470.0,26.966250000000002,26.966250000000002,352.5,352.5,449.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,141.0,0.0,-141.0,-114.03,-87.07,-0.2426,-0.3
47,480.0,27.54,27.54,360.0,360.0,459.0,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,144.0,0.0,-144.0,-116.46,-88.92,-0.2426,-0.3
48,490.0,28.11375,28.11375,367.5,367.5,468.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,147.0,0.0,-147.0,-118.89,-90.77,-0.2426,-0.3
49,500.0,28.6875,28.6875,375.0,375.0,478.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,150.0,0.0,-150.0,-121.31,-92.62,-0.2426,-0.3
50,510.0,29.26125,29.26125,382.5,382.5,487.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,153.0,0.0,-153.0,-123.74,-94.48,-0.2426,-0.3
51,520.0,29.835,29.835,390.0,390.0,497.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,156.0,0.0,-156.0,-126.16,-96.33,-0.2426,-0.3
52,530.0,30.408749999999998,30.408749999999998,397.5,397.5,506.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,159.0,0.0,-159.0,-128.59,-98.18,-0.2426,-0.3
53,540.0,30.9825,30.9825,405.0,405.0,516.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,162.0,0.0,-162.0,-131.02,-100.03,-0.2426,-0.3
54,550.0,31.55625,31.55625,412.5,412.5,525.9375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,165.0,0.0,-165.0,-133.44,-101.89,-0.2426,-0.3
55,560.0,32.13,32.13,420.0,420.0,535.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,168.0,0.0,-168.0,-135.87,-103.74,-0.2426,-0.3
56,570.0,32.70375,32.70375,427.5,427.5,545.0625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,171.0,0.0,-171.0,-138.3,-105.59,-0.2426,-0.3
57,580.0,33.277499999999996,33.277499999999996,435.0,435.0,554.625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,174.0,0.0,-174.0,-140.72,-107.44,-0.2426,-0.3
58,590.0,33.85125,33.85125,442.5,442.5,564.1875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,177.0,0.0,-177.0,-143.15,-109.3,-0.2426,-0.3
59,600.0,34.425,34.425,450.0,450.0,573.75,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,180.0,0.0,-180.0,-145.57,-111.15,-0.2426,-0.3
60,610.0,34.99875,34.99875,457.5,457.5,583.3125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,183.0,0.0,-183.0,-148.0,-113.0,-0.2426,-0.3
61,620.0,35.5725,35.5725,465.0,465.0,592.875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,186.0,0.0,-186.0,-150.43,-114.86,-0.2426,-0.3
62,630.0,36.146249999999995,36.146249999999995,472.5,472.5,602.4375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,189.0,0.0,-189.0,-152.85,-116.71,-0.2426,-0.3
63,640.0,36.72,36.72,480.0,480.0,612.0,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,192.0,0.0,-192.0,-155.28,-118.56,-0.2426,-0.3
64,650.0,37.29375,37.29375,487.5,487.5,621.5625,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,195.0,0.0,-195.0,-157.71,-120.41,-0.2426,-0.3
65,660.0,37.8675,37.8675,495.0,495.0,631.125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,198.0,0.0,-198.0,-160.13,-122.26,-0.2426,-0.3
66,670.0,38.441250000000004,38.441250000000004,502.5,502.5,640.6875,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,201.0,0.0,-201.0,-162.56,-124.12,-0.2426,-0.3
67,680.0,39.015,39.015,510.0,510.0,650.25,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,204.0,0.0,-204.0,-164.99,-125.97,-0.2426,-0.3
68,690.0,39.588750000000005,39.588750000000005,517.5,517.5,659.8125,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,207.0,0.0,-207.0,-167.41,-127.82,-0.2426,-0.3
69,700.0,40.162499999999994,40.162499999999994,525.0,525.0,669.375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,210.0,0.0,-210.0,-169.84,-129.68,-0.2426,-0.3
70,710.0,40.73625,40.73625,532.5,532.5,678.9375,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,213.0,0.0,-213.0,-172.26,-131.53,-0.2426,-0.3
71,720.0,41.309999999999995,41.309999999999995,540.0,540.0,688.5,0.0,standard,24000.0,0.0,0,0.0,0.0,0.0,0,0.0,3300.0,0.0,216.0,0.0,-216.0,-174.69,-133.38,-0.2426,-0.3
