state_name,statefips,county_name,countyfips,totalrets,agi_stub,child_dep,avg_income_ALL,taxes_paid_ded,pre,post
NV,32,Churchill,1,1760,5,1,62265,2762.790697674419,52758.75849007314,54181.816091954024
NV,32,Churchill,1,1090,6,1,86402,3088.571428571429,71730.52730858269,73721.45794392524
NV,32,Churchill,1,1150,7,1,130897,4474.509803921568,104506.80312151616,108056.10256410255
NV,32,Churchill,1,170,8,1,311765,6018.181818181818,240896.0588235294,256713.70588235295
NV,32,Clark,3,117720,2,1,5509,2219.4860813704495,5803.042719614922,5821.424187725633
NV,32,Clark,3,240390,3,2,17392,1888.22184105203,18907.44467174418,19037.546102280874
NV,32,Clark,3,278010,4,2,35843,2198.0816613868355,33519.655873665215,34554.442480152895
NV,32,Clark,3,130950,5,1,61434,2831.108462455304,51622.979965477425,52944.74022019209
NV,32,Clark,3,75320,6,1,86370,3513.7079261672097,71278.31243155355,73120.14412835379
NV,32,Clark,3,92630,7,1,133573,4941.368297192806,106471.8700000484,109524.02718524051
NV,32,Clark,3,29130,8,1,686818,20978.610758153325,501789.86495467584,531617.0229094939
NV,32,Douglas,5,2960,2,1,5194,2809.090909090909,5453.109589041096,5481.465753424657
NV,32,Douglas,5,4670,3,1,17365,3571.9298245614036,17303.50598967889,17552.509761388286
NV,32,Douglas,5,5720,4,1,36415,3063.28125,32854.79581420369,33644.39177101968
NV,32,Douglas,5,3710,5,1,61883,3646.9387755102043,52834.597038712665,54140.25885558583
NV,32,Douglas,5,2750,6,1,86597,4802.898550724638,72999.33487845489,74782.17216117216
NV,32,Douglas,5,3600,7,1,134654,6382.5,109681.09031657355,112990.75977653629
NV,32,Douglas,5,1410,8,1,718602,33954.166666666664,531554.1743456299,565262.3171590386
NV,32,Elko,7,2650,2,1,5229,1357.142857142857,5478.136363636363,5496.068181818183
NV,32,Elko,7,4110,3,2,17304,1611.764705882353,18376.62669447341,18521.428571428572
NV,32,Elko,7,4350,4,2,36488,1892.156862745098,33878.48342237332,34926.99061032864
NV,32,Elko,7,3610,5,1,62559,2351.7241379310344,52200.40380612548,53660.09039548023
NV,32,Elko,7,3280,6,1,86887,2863.6363636363635,71250.51732991014,73313.26315789473
NV,32,Elko,7,4410,7,1,130436,3874.3961352657007,103144.80763330389,106666.96355353075
NV,32,Elko,7,670,8,1,361316,7197.674418604651,271329.4879448909,290859.27095292765
NV,32,Esmeralda,9,70,2,1,-2014,0.0,-2228.285714285714,-2232.714285714286
NV,32,Esmeralda,9,70,3,0,17529,0.0,15613.0,15778.0
NV,32,Esmeralda,9,100,4,1,34300,0.0,31292.781818181815,32020.727272727272
NV,32,Esmeralda,9,80,5,1,60775,0.0,50831.333333333336,52353.666666666664
NV,32,Esmeralda,9,40,6,1,78675,0.0,67352.5,68476.0
NV,32,Esmeralda,9,40,7,0,138725,0.0,108070.0,111616.0
NV,32,Esmeralda,9,0,8,0,0,0.0,0.0,0.0
NV,32,Eureka,11,100,2,0,4860,0.0,4860.0,4860.0
NV,32,Eureka,11,110,3,2,17436,0.0,17730.5,17921.25
NV,32,Eureka,11,130,4,1,35338,0.0,32187.153846153848,32915.0
NV,32,Eureka,11,100,5,1,64750,0.0,54340.5,55994.25
NV,32,Eureka,11,130,6,1,84500,3866.6666666666665,69525.92307692308,71600.0
NV,32,Eureka,11,150,7,1,156600,3300.0,123719.0,128577.0
NV,32,Eureka,11,0,8,0,0,0.0,0.0,0.0
NV,32,Humboldt,13,1000,2,1,5318,0.0,5592.5,5621.0
NV,32,Humboldt,13,1480,3,1,17178,2128.5714285714284,17402.54333643989,17655.103448275862
NV,32,Humboldt,13,1390,4,1,36341,1735.2941176470588,32555.620581795436,33375.60144927536
NV,32,Humboldt,13,1090,5,1,61971,2645.833333333333,51875.1974620595,53318.7570093458
NV,32,Humboldt,13,1060,6,1,86950,2937.931034482759,71382.49694519317,73564.86666666667
NV,32,Humboldt,13,1450,7,1,129526,4418.64406779661,102308.59747919145,106025.23448275862
NV,32,Humboldt,13,170,8,1,316665,6110.0,241630.41176470587,258230.70588235295
NV,32,Lander,15,350,2,1,5083,0.0,5435.722222222223,5472.5
NV,32,Lander,15,400,3,1,17065,0.0,17091.25,17335.0
NV,32,Lander,15,440,4,2,37316,4275.0,34894.70661157025,36000.77272727273
NV,32,Lander,15,380,5,1,63611,1783.3333333333335,52951.28947368421,54553.42105263158
NV,32,Lander,15,380,6,1,87605,2381.818181818182,70974.92382271469,73140.31578947368
NV,32,Lander,15,490,7,1,128600,3712.5,102877.40857975843,107223.3469387755
NV,32,Lander,15,60,8,1,468617,4833.333333333333,334028.0,354990.5
NV,32,Lincoln,17,220,2,1,4805,0.0,5115.818181818182,5137.863636363636
NV,32,Lincoln,17,310,3,1,17074,1900.0,17420.376344086024,17672.36666666667
NV,32,Lincoln,17,380,4,1,36666,2657.142857142857,33410.72991689751,34173.89473684211
NV,32,Lincoln,17,300,5,1,62233,2633.333333333333,53135.793333333335,54362.333333333336
NV,32,Lincoln,17,230,6,1,87765,3190.0,73581.65217391304,75279.16666666667
NV,32,Lincoln,17,210,7,1,143352,3538.461538461538,116885.80952380953,120989.61904761905
