Zip,AGI Bracket,Filers,Itemizers,AGI,SLIncomeTax,PropertyTax,MortgageInterest,Contributions,contrib + mortgage,Total SALT,Exhibit: S-L Income Tax Effective Rate
10461,"$100,000 under $200,000",2530,420,132262.6168,11906.2201,4476.666667,9802.941176,3037.368421,12840.3096,16382.88676,0.090019541
10462,"$100,000 under $200,000",2360,2140,127392.8205,11189.00524,3507.792208,7992.207792,3777.97619,11770.18398,14696.79744,0.087830736
10463,"$100,000 under $200,000",4270,1950,137925.5618,11893.73134,3799.543379,6947.142857,3585.530547,10532.6734,15693.27472,0.086232974
10464,"$100,000 under $200,000",420,3560,138869.4444,11411.76471,5430.769231,10495.83333,2670.588235,13166.42157,16842.53394,0.082176211
10465,"$100,000 under $200,000",3060,360,135426.9091,11652.04461,4471.134021,10477.58621,2981.781377,13459.36758,16123.17863,0.08603936
10466,"$100,000 under $200,000",1890,2750,129983.7209,10795.2381,3929.20354,10698.13084,5029.605263,15727.7361,14724.44164,0.083050693
10467,"$100,000 under $200,000",1690,1720,127599.2958,10994.2029,3633.898305,8512.280702,4140.983607,12653.26431,14628.1012,0.08616194
10468,"$100,000 under $200,000",840,1420,126197.1429,10939.70588,2735.714286,6507.142857,4388.333333,10895.47619,13675.42017,0.086687429
10469,"$100,000 under $200,000",2690,700,132452.0492,11171.72996,4416.959064,10973.07692,4394.495413,15367.57234,15588.68902,0.084345467
10470,"$100,000 under $200,000",860,2440,133417.1053,11556.75676,4240.47619,9383.783784,3269.117647,12652.90143,15797.23295,0.086621252
10471,"$100,000 under $200,000",2060,760,138883.6158,11885.62874,5151.219512,7722.522523,3538.125,11260.64752,17036.84825,0.085579776
10472,"$100,000 under $200,000",720,1770,127606.4516,10971.66667,4203.448276,9196.296296,4108.163265,13304.45956,15175.11494,0.085980501
10473,"$100,000 under $200,000",1620,620,129651.3699,11004.22535,3102.197802,10758.88889,4294.444444,15053.33333,14106.42315,0.084875504
10474,"$100,000 under $200,000",70,1460,160783.3333,13816.66667,5366.666667,5450,4766.666667,10216.66667,19183.33333,0.085933451
10475,"$100,000 under $200,000",1790,60,126022.2973,10924.47552,1514.166667,2909.090909,4877.777778,7786.868687,12438.64219,0.086686846
10501,"$100,000 under $200,000",150,1480,147728.5714,8207.692308,12784.61538,10700,2892.307692,13592.30769,20992.30769,0.055559275
10502,"$100,000 under $200,000",640,140,147551.6667,8032.075472,17494.33962,10865,2953.571429,13818.57143,25526.41509,0.054435681
10504,"$100,000 under $200,000",800,600,146563.7681,9269.491525,15821.42857,13276.92308,3135.59322,16412.5163,25090.9201,0.06324545
10505,"$100,000 under $200,000",100,690,152100,8344.444444,15650,11728.57143,2544.444444,14273.01587,23994.44444,0.054861568
10506,"$100,000 under $200,000",440,90,147590,9322.857143,18471.42857,13818.51852,4521.621622,18340.14014,27794.28571,0.063167268
10507,"$100,000 under $200,000",440,400,139935.1351,8708.823529,11074.19355,11069.23077,2666.666667,13735.89744,19783.01708,0.062234717
10509,"$100,000 under $200,000",2110,370,141114.359,7754.644809,8921.666667,9875.925926,2691.666667,12567.59259,16676.31148,0.054952911
10510,"$100,000 under $200,000",1020,1950,146686.3158,8381.395349,15722.35294,10953.0303,3576.136364,14529.16667,24103.74829,0.057138222
10511,"$100,000 under $200,000",230,950,135580.9524,7321.052632,8755.555556,9962.5,2427.777778,12390.27778,16076.60819,0.053997649
10512,"$100,000 under $200,000",2880,210,140304.9242,7737.651822,10249.5935,9288.785047,2532.5,11821.28505,17987.24532,0.055148826
10514,"$100,000 under $200,000",840,2640,148594.8718,8772.857143,18608.95522,13696,4057.142857,17753.14286,27381.81237,0.059038761
10516,"$100,000 under $200,000",650,780,143516.0714,7970.588235,10157.69231,9511.363636,2794.117647,12305.48128,18128.28054,0.055537949
10518,"$100,000 under $200,000",160,560,146214.2857,8107.692308,11125,12510,3384.615385,15894.61538,19232.69231,0.055450753
10520,"$100,000 under $200,000",1390,140,144162.0968,8681.896552,11166.96429,9930.769231,2934.821429,12865.59066,19848.86084,0.060223157
10522,"$100,000 under $200,000",1100,1240,143254.8387,8005.747126,14152,9760.655738,3243.529412,13004.18515,22157.74713,0.055884654
10523,"$100,000 under $200,000",840,930,138965.6716,7965.079365,10322.91667,10051.16279,3960,14011.16279,18287.99603,0.057316885
10524,"$100,000 under $200,000",500,670,140886.9565,8092.857143,10969.04762,10794.28571,2748.780488,13543.0662,19061.90476,0.057442203
10526,"$100,000 under $200,000",210,460,143036.8421,8323.529412,11770.58824,10792.30769,3423.529412,14215.8371,20094.11765,0.058191507
10527,"$100,000 under $200,000",120,190,148554.5455,8670,12972.72727,11550,3770,15320,21642.72727,0.058362401
10528,"$100,000 under $200,000",980,110,142762.3377,8419.178082,12994.91525,11304.16667,3289.855072,14594.02174,21414.09334,0.058973383
10530,"$100,000 under $200,000",1820,770,141623.1707,7827.516779,10267.12329,9048.387097,2959.459459,12007.84656,18094.64007,0.055270029
10532,"$100,000 under $200,000",700,1640,143387.5,7958.333333,11329.31034,10910.41667,2595,13505.41667,19287.64368,0.055502281
10533,"$100,000 under $200,000",770,640,144711.9403,8046.774194,14766.66667,10700,3183.606557,13883.60656,22813.44086,0.055605461
10535,"$100,000 under $200,000",70,670,172200,9516.666667,10950,10820,2333.333333,13153.33333,20466.66667,0.055265196
10536,"$100,000 under $200,000",1000,60,148655.4348,8654.761905,15428.04878,11877.77778,3248.809524,15126.5873,24082.81069,0.058220286
10537,"$100,000 under $200,000",230,920,134376.1905,7365,8285,8347.058824,2421.052632,10768.11146,15650,0.054808817
10538,"$100,000 under $200,000",1300,210,145772.4138,9042.857143,15873.95833,10991.5493,3456.603774,14448.15307,24916.81548,0.062034077
10541,"$100,000 under $200,000",3110,1160,142210.3448,7688.278388,11562.59259,9953.974895,2680.898876,12634.87377,19250.87098,0.054062722
10543,"$100,000 under $200,000",1670,2900,141891.6667,8036.567164,12614.16667,10301.03093,2779.230769,13080.2617,20650.73383,0.056638754
10546,"$100,000 under $200,000",160,1440,140326.6667,7985.714286,12238.46154,11281.81818,3053.846154,14335.66434,20224.17582,0.056908031
10547,"$100,000 under $200,000",810,150,140955.4054,7778.26087,10243.28358,9263.333333,2685.294118,11948.62745,18021.54445,0.055182423
10548,"$100,000 under $200,000",390,740,143285.2941,7584.375,7828.125,9260.714286,2428.125,11688.83929,15412.5,0.052931985
10549,"$100,000 under $200,000",1240,340,144576.1468,8179.411765,11273.95833,10553.16456,3288,13841.16456,19453.3701,0.056575112
10550,"$100,000 under $200,000",990,1090,128414.4578,7372.5,8863.461538,9834,4841.666667,14675.66667,16235.96154,0.05741176
10552,"$100,000 under $200,000",1840,830,136996.8944,7952.317881,10717.5,8996.363636,4358.333333,13354.69697,18669.81788,0.058047432
10553,"$100,000 under $200,000",600,1610,131039.2857,7369.230769,10442.85714,10455.26316,5678,16133.26316,17812.08791,0.056236805
10560,"$100,000 under $200,000",450,560,146345,7916.216216,12472.97297,11130,2448.648649,13578.64865,20389.18919,0.054092837
10562,"$100,000 under $200,000",2670,400,140248.3051,7874.429224,11094.66019,9547.428571,3113.615023,12661.04359,18969.08942,0.056146341
10566,"$100,000 under $200,000",1590,2360,136330.7143,7534.586466,7085.826772,9095.614035,3049.21875,12144.83279,14620.41324,0.055266977
10567,"$100,000 under $200,000",2340,1400,142188.6878,7915.533981,10721.15385,9975,2808.292683,12783.29268,18636.68783,0.055669224
10570,"$100,000 under $200,000",1200,2210,144209.0909,8068.627451,14632.65306,10728.20513,3028.712871,13756.918,22701.28051,0.055950893
