,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
110,10543,1670,2900,141891.6667,13797.67,13815.17
111,10546,160,1440,140326.6667,13149.21,13397.02
112,10547,810,150,140955.4054,14453.81,13609.19
113,10548,390,740,143285.2941,15903.49,14121.76
114,10549,1240,340,144576.1468,14727.9,14405.75
115,10550,990,1090,128414.4578,10483.21,10701.53
116,10552,1840,830,136996.8944,12750.59,12738.32
117,10553,600,1610,131039.2857,10530.98,10958.32
118,10560,450,560,146345.0,15101.79,14794.9
119,10562,2670,400,140248.3051,13862.04,13453.63
120,10566,1590,2360,136330.7143,13898.87,12591.76
121,10567,2340,1400,142188.6878,14499.68,13880.51
122,10570,1200,2210,144209.0909,13845.22,14325.0
123,10573,2210,1100,141428.6458,13280.62,13653.86
124,10576,500,1920,145302.1277,13482.11,14085.17
125,10577,180,470,148693.3333,12812.72,14820.76
126,10578,120,150,144909.0909,15392.78,14408.05
127,10579,1080,110,139400.0,13757.05,13267.0
128,10580,1170,1030,145598.0392,12408.7,14103.01
129,10583,3320,1020,146073.9274,13367.04,14548.46
130,10588,310,3030,138837.93099999998,13884.77,13143.34
131,10589,1210,290,143475.2475,15442.71,14163.55
132,10590,750,1010,143671.831,13776.3,14010.7
133,10591,1940,710,141473.125,14003.26,13723.09
134,10594,600,1600,145605.3571,14575.53,14632.18
135,10595,770,560,147202.9851,15303.25,14983.66
136,10597,70,670,146928.5714,9455.76,12770.95
137,10598,3770,70,143410.2564,14587.79,14149.26
138,10601,960,3510,138431.5789,14494.24,13053.95
139,10603,1870,760,139735.8025,14058.55,13340.88
140,10604,850,1620,139821.4286,13186.1,13251.89
141,10605,2140,700,145504.5685,14718.57,14481.08
142,10606,1040,1970,140625.8824,13931.24,13532.28
143,10607,780,850,141172.6027,13241.71,13436.84
144,10701,2720,730,134206.9565,12992.41,12124.53
145,10703,1430,2300,135284.8,13187.24,12361.66
146,10704,2760,1250,135029.4118,13131.67,12305.47
147,10705,1540,2380,136889.1473,13081.72,12714.61
148,10706,1000,1290,145162.2222,14361.96,14534.69
149,10707,1130,900,143469.697,14619.04,14162.33
150,10708,2370,990,140075.7143,14352.05,13415.66
151,10709,1070,2100,144404.0404,14174.5,14367.89
152,10710,2940,990,137088.3459,13241.94,12758.44
153,10801,2410,2660,138168.4211,13086.2,12989.87
154,10803,1030,2090,144583.87099999998,13125.86,14317.75
155,10804,1460,930,146781.295,13546.46,14379.85
156,10805,1320,1390,133735.5769,12681.11,12020.83
157,10901,2430,1040,142406.25,13986.3,13928.38
158,10913,620,2240,144852.6316,14719.05,14466.58
159,10916,540,570,141587.7551,14789.56,13748.31
160,10917,210,490,139870.0,13794.76,13370.4
161,10918,1210,200,141289.2857,14726.87,13682.64
162,10919,110,1120,138970.0,14713.61,13172.4
163,10920,1070,100,142752.0408,14704.79,14004.45
164,10921,480,980,136636.3636,13496.53,12659.0
165,10923,820,440,136737.8378,12938.78,12681.32
166,10924,1340,740,141591.6667,14668.12,13749.17
167,10925,520,1200,134682.9787,13614.5,12229.26
168,10926,370,470,133559.375,12721.54,11982.06
169,10927,430,320,133589.1892,12188.23,11988.62
170,10928,300,370,133954.1667,13332.69,12068.92
171,10930,1120,240,141250.0,14203.83,13674.0
172,10931,80,1060,139514.2857,13425.71,13292.14
173,10940,3060,70,134642.8044,13502.55,12220.42
174,10941,1110,2710,134791.7526,13299.81,12253.19
175,10950,3330,970,140557.5563,14144.71,13521.66
176,10952,1530,3110,143026.6187,11980.28,12489.26
177,10954,2670,1390,140431.7992,13973.37,13494.0
178,10956,4010,2390,144870.7124,14589.46,14470.56
179,10958,340,3790,139036.6667,14932.89,13187.07
180,10960,1400,300,140329.7521,13140.61,13471.55
181,10962,570,1210,145219.2308,14925.94,14547.23
182,10963,220,520,136845.0,14130.23,12704.9
183,10964,170,200,148726.6667,14197.12,14991.15
184,10965,1950,150,145394.4751,15490.93,14585.78
185,10968,310,1810,139596.2963,12747.84,13310.19
186,10969,100,270,137866.6667,13531.76,12929.67
187,10970,1020,90,139272.5275,13192.22,13217.59
188,10973,240,910,135995.4545,13606.09,12518.0
189,10974,330,220,141796.6667,14526.02,13794.27
190,10976,150,300,139442.8571,12961.2,12978.75
191,10977,2330,20,137272.4299,12367.61,12338.47
192,10980,1560,140,140251.049,13756.94,13454.23
193,10983,810,2140,143552.6316,14776.36,14180.58
194,10984,360,1430,140771.4286,13727.2,13568.71
195,10985,40,760,144450.0,14928.33,14378.0
196,10986,210,350,145621.0526,14878.26,14635.63
197,10987,400,40,145797.2973,15232.88,14674.41
198,10989,1220,190,140878.7611,13962.69,13592.33
199,10990,2240,370,140737.6812,14504.27,13561.29
200,10992,1130,1130,141362.2642,14868.51,13698.7
201,10993,290,2070,140376.9231,14605.69,13481.92
202,10994,900,1060,144253.5714,14031.0,14334.79
203,10996,260,260,145214.2857,16443.57,13955.08
204,10998,360,840,140982.3529,14802.15,13615.12
205,11001,3080,70,142332.1555,14343.28,13912.07
206,11003,2960,340,133098.1818,11815.67,11723.87
207,11004,1290,2830,136834.8214,13410.63,12702.66
208,11005,450,2750,141535.7143,15664.5,13736.86
209,11010,2790,1120,139609.4118,13964.2,13313.07
210,11020,550,420,147072.549,13532.7,14310.95
211,11021,1960,2550,142453.8012,14299.27,13938.84
212,11023,760,510,142838.0282,12129.33,13254.98
213,11024,480,1710,145367.4419,9956.25,13193.06
214,11030,1410,710,147965.6489,12586.34,14252.66
215,11040,5110,430,142608.2105,14180.07,13970.93
216,11050,2720,1310,145670.4167,13541.13,14210.48
217,11096,260,4750,129822.7273,11439.61,11097.35
218,11101,2480,2400,140864.5933,14369.87,13432.56
219,11102,2110,220,136238.7283,13062.78,12571.52
220,11103,2110,2090,134585.119,12730.7,12207.73
221,11104,1760,1730,137595.7447,14273.09,12870.06
222,11105,2400,1680,137918.0412,13506.02,12940.97
223,11106,2490,1410,135564.5631,13822.89,12423.2
224,11109,1170,1940,145271.6981,12615.14,11940.61
225,11201,6780,2060,143190.3909,14813.19,14100.89
226,11203,2120,1060,128375.6477,10478.1,10379.03
227,11204,2510,6140,137426.3158,12129.06,11918.31
228,11205,2100,1930,138477.0053,13411.91,12776.48
229,11206,1610,2090,130635.2518,11302.77,11027.91
230,11207,1430,1870,126265.625,10315.64,10159.73
231,11208,1260,1390,125489.4737,10144.77,10083.0
232,11209,5430,1280,138403.9387,13609.19,13047.87
233,11210,2650,1140,135717.2996,11368.46,11367.53
234,11211,4000,4570,138966.0969,13518.29,12937.38
235,11212,1000,2370,125424.4444,10014.74,9950.65
236,11213,1340,3510,130635.6522,10299.75,10170.45
237,11214,3190,900,134192.0455,12887.35,12121.25
238,11215,7000,1150,143337.1476,14769.77,14098.8
239,11216,2120,2640,132647.2826,11797.23,11425.55
240,11217,3340,6030,142376.8456,14535.32,13921.91
241,11218,3740,1840,138800.6369,13988.38,13135.14
242,11219,1670,2980,137347.7612,11204.62,11057.78
243,11220,1740,3140,134827.1429,13133.08,12260.97
244,11221,1710,1340,131874.1497,11500.16,11121.66
245,11222,3290,1400,136256.044,13280.49,12575.33
246,11223,2620,1470,136177.1689,12514.85,12375.99
247,11224,1320,2730,132809.2593,13269.13,11817.04
248,11225,1850,2190,132145.8065,11457.66,11311.33
249,11226,2250,1080,130520.0,11333.82,11120.37
250,11228,2480,1550,139659.5455,13583.31,13324.1
251,11229,4400,1900,137426.9542,13426.94,12832.93
252,11230,3340,2200,138320.7885,12784.45,12497.74
253,11231,3200,3710,142343.5897,14294.09,13762.35
254,11232,800,2790,133534.8485,12559.99,11976.67
255,11233,1460,2730,130203.7594,10945.93,10652.93
256,11234,6040,660,136489.8551,12631.75,12280.5
257,11235,4070,1330,136650.2874,13616.38,12662.06
258,11236,3560,5520,129230.8157,10472.45,10415.72
259,11237,960,3480,130273.75,12174.57,11259.23
260,11238,4510,3310,139440.4523,13973.7,13275.9
261,11239,300,800,130607.6923,11431.6,11160.66
262,11354,1830,3980,135594.0,13428.13,12429.68
263,11355,1880,260,134642.2819,13069.7,12220.3
264,11356,1080,1500,133515.9574,12278.08,11972.51
265,11357,3860,1490,138566.954,13567.6,13083.73
266,11358,2550,940,138318.1416,13373.28,13028.99
267,11360,2260,3480,140496.4824,14447.47,13508.23
268,11361,2220,2260,137714.359,13192.04,12896.16
269,11362,1830,1990,137887.03699999998,13697.25,12934.15
270,11363,640,1950,143287.93099999998,13752.0,13897.11
271,11364,2990,1620,137743.6567,13724.62,12902.6
272,11365,2790,580,136105.0633,13372.96,12542.11
273,11366,1090,2680,139930.6122,13198.11,13166.73
274,11367,2100,2370,136760.452,13146.93,12686.3
275,11368,1220,980,126750.5051,11220.61,10484.11
276,11369,920,1770,130229.2683,11746.89,11249.44
277,11370,1190,990,134031.6832,12556.21,12085.97
278,11372,2750,820,135367.2489,14153.22,12379.79
279,11373,2300,1010,131910.929,12612.23,11619.4
280,11374,3150,2290,136998.4733,13902.09,12738.66
281,11375,7280,1830,140460.7313,14855.06,13500.36
282,11377,3310,2620,134509.5238,13546.42,12191.1
283,11378,2180,6290,136214.1361,13305.65,12566.11
284,11379,3110,2730,137558.3026,13407.17,12861.83
285,11385,4150,1910,133409.2486,12450.9,11949.03
286,11411,1250,2710,131170.339,11167.65,10934.73
287,11412,1500,3460,128658.5714,10510.88,10348.66
288,11413,2140,1180,129392.0,10561.31,10449.4
289,11414,2340,1400,136843.6893,13386.33,12704.61
290,11415,1380,2000,136705.7851,13789.38,12674.27
291,11416,560,2060,127368.0851,10765.79,10619.98
292,11417,1300,1210,132920.5128,12354.8,11841.51
293,11418,1310,470,134609.7345,12739.95,12213.14
294,11419,990,1170,128689.5349,11137.45,10910.7
295,11420,1570,1130,130224.8276,11335.62,11152.01
296,11421,1410,860,131204.065,12171.97,11463.89
297,11422,1690,1450,130701.8868,10961.01,10825.4
298,11423,1180,1230,133045.3704,11691.25,11667.75
299,11426,1620,1590,137000.0,13411.16,12739.0
300,11427,1470,1080,135247.7612,12665.57,12353.51
301,11428,1010,1460,130296.7742,11418.52,11217.94
302,11429,960,1340,130243.3333,10965.81,10756.48
303,11432,2050,930,135308.3799,12298.68,12268.55
304,11433,730,900,128642.6471,10689.26,10431.27
305,11434,2100,0,128452.3316,10960.24,10655.9
306,11435,1790,1790,130988.1579,12233.35,11416.39
307,11436,590,680,125696.4286,9988.08,9927.09
308,11501,2320,1930,140004.5226,14392.11,13399.99
309,11507,870,1520,141154.321,13049.28,13470.29
310,11509,320,560,141753.3333,12613.32,13393.8
311,11510,3800,1990,137622.3464,13009.35,12874.81
312,11514,530,810,141672.9167,14572.62,13767.04
313,11516,680,300,141841.3793,13765.69,13040.84
314,11518,1220,3580,140366.6667,14120.08,13479.67
315,11520,2700,480,135048.6166,12248.71,12309.7
316,11530,3150,580,146200.678,14048.18,14602.29
317,11542,1990,1110,139741.3793,13517.34,13342.1
318,11545,1130,2530,147016.1905,13549.37,14357.42
319,11548,140,2950,145291.6667,13916.93,14434.5
320,11550,1950,1740,133485.5556,11624.74,11965.82
321,11552,2450,1050,139399.1228,13456.79,13193.4
322,11553,1040,120,131487.3684,11943.61,11380.67
323,11554,4440,1800,140179.1155,14241.92,13438.41
324,11557,830,2280,143077.6316,13501.82,14076.08
325,11558,820,950,138363.0137,13841.74,13038.86
326,11559,540,4070,141174.4681,10610.27,11465.61
327,11560,570,760,143103.8462,12811.77,13541.9
328,11561,4110,730,138942.8571,13655.87,13166.43
329,11563,2630,470,141713.6364,14141.9,13776.0
330,11565,1290,520,141900.813,14163.73,13817.18
331,11566,4570,3640,144031.3225,14570.42,14285.89
332,11568,210,2420,148816.6667,10124.45,13252.15
333,11570,2940,1230,144037.5465,13994.35,14287.26
334,11572,3860,4310,141794.9721,14314.99,13793.89
335,11575,600,180,128352.7273,9973.21,9950.15
336,11576,1130,2690,146173.3333,12520.31,14082.56
337,11577,1170,3580,144082.7273,13342.94,13911.36
338,11579,570,550,146425.0,14819.52,14708.05
339,11580,3980,1050,136550.6775,12884.32,12625.32
340,11581,2430,1100,140719.1964,13761.93,13458.34
341,11590,3810,520,139843.9655,13638.37,13364.67
342,11596,1270,3690,145212.1739,14701.87,14545.68
343,11598,1200,2240,144996.4286,13422.86,13822.52
344,11691,1290,3480,132538.9381,11285.59,11007.64
345,11692,540,1150,128040.0,10839.99,10408.74
346,11693,670,1120,134670.4918,13332.4,12226.51
347,11694,1630,1130,141056.1644,13836.19,13542.27
348,11697,530,500,142676.7442,16123.15,13987.88
349,11701,1680,610,136640.7895,12843.28,12659.97
350,11702,1860,1460,141360.6936,13988.89,13698.35
351,11703,1790,430,135744.5122,13074.49,12462.79
352,11704,3520,1520,135713.7072,13015.94,12456.02
353,11705,1040,1730,143760.6061,14495.27,14226.33
354,11706,3790,1640,134830.4348,12661.14,12261.7
355,11709,780,3210,140593.0556,14066.26,13529.47
356,11710,4360,990,142851.4706,14620.14,14026.32
357,11713,770,3450,139756.25,14373.36,13345.38
358,11714,2760,720,139380.1587,13913.63,13262.63
359,11715,640,4080,140520.0,14066.12,13513.4
360,11716,1220,640,139294.5946,13976.72,13243.81
361,11717,1440,2520,130310.4,12025.82,11267.29
362,11718,430,600,145995.122,14343.8,14678.83
363,11719,360,1110,141151.5152,14549.1,13652.33
364,11720,3020,1250,137533.5714,13783.16,12856.39
365,11721,790,410,143001.3333,14196.75,14059.29
366,11722,1410,330,131869.2308,12299.46,11610.23
367,11724,250,2800,144391.3043,12110.03,13705.35
368,11725,3720,750,143484.375,14540.02,14165.56
369,11726,1010,1300,132428.5714,12088.95,11733.29
370,11727,2620,230,135011.3537,13218.79,12301.5
371,11729,2630,3520,135774.7934,13018.22,12469.45
372,11730,1720,910,140649.0798,13744.01,13541.8
373,11731,3730,2290,143044.3478,14919.19,14068.76
374,11732,450,2420,144905.0,14786.59,14342.98
375,11733,2140,1630,145572.8643,14799.14,14625.03
376,11735,3570,3450,139931.9149,14055.53,13384.02
377,11738,1700,400,137290.0662,13946.79,12802.81
