,zip,Filers,Itemizers,AGI,pre-tcja-tax,current-law-tax
693,12754,250,1140,134728.5714,22786.15,22239.69
694,12758,200,640,136025.0,23381.46,22560.64
695,12759,40,680,140500.0,23166.75,23045.5
696,12762,40,50,172233.3333,31221.42,29725.5
697,12763,40,800,168950.0,30570.42,30125.5
698,12764,110,130,169588.8889,32255.81,30591.12
699,12765,80,870,185766.6667,36696.35,34490.57
700,12768,50,890,175500.0,32819.75,31609.5
701,12771,760,750,134953.8462,22805.25,21905.97
702,12775,240,710,138971.4286,23228.91,22721.58
703,12776,110,280,197777.7778,38207.03,38134.39
704,12777,60,220,146300.0,24142.35,24615.21
705,12779,80,210,205600.0,40666.11,40591.56
706,12780,180,300,145868.75,25628.27,24662.57
707,12783,80,130,160716.6667,29959.55,28363.9
708,12786,60,540,256000.0,56329.17,56477.67
709,12788,120,130,160920.0,29898.65,28365.3
710,12789,90,80,159362.5,28503.25,27249.64
711,12790,260,970,135757.1429,22980.96,22062.65
712,12791,50,1070,166475.0,31396.42,29675.5
713,12801,610,3050,133604.1667,23035.9,21795.09
714,12803,460,70,129238.2353,22589.19,20901.88
715,12804,2170,270,136658.9595,23571.05,22367.41
716,12809,200,1500,145393.3333,25693.33,24536.05
717,12814,120,3740,138844.4444,22716.31,22268.74
718,12815,70,220,250840.0,55439.81,55588.31
719,12816,230,60,136483.3333,23872.59,22639.21
720,12817,130,20,129644.4444,21257.69,20359.45
721,12822,270,440,142968.4211,25438.44,23983.33
722,12824,70,90,146100.0,24076.48,23776.36
723,12827,190,20,128814.2857,21770.85,20623.78
724,12828,480,70,134968.5714,23817.44,22270.76
725,12831,1710,80,137802.0979,23979.29,22587.11
726,12832,240,60,131376.4706,22257.96,21559.21
727,12833,380,0,135203.3333,23027.11,21763.6
728,12834,440,40,134842.8571,23214.84,22111.79
729,12835,140,100,155870.0,28350.41,26715.3
730,12836,50,0,227075.0,47539.85,47496.51
731,12838,40,110,131033.3333,23124.75,21745.5
732,12839,420,0,129865.5172,22793.97,21245.92
733,12842,60,0,117250.0,18095.42,17949.5
734,12844,50,20,277200.0,65299.13,65447.63
735,12845,350,60,140680.7692,24007.22,22925.18
736,12846,170,80,154775.0,28425.15,26774.7
