,gross_income,employee_payroll_tax,employer_payroll_tax,ordinary_income_after_401k,agi,taxable_income,deduction_type,deductions,personal_exemption_amt,pease_limitation_amt,income_tax_before_credits,qualified_income_tax,selected_tax_before_credits,amt,income_tax_before_credits_with_amt,ctc,actc,eitc,income_tax_after_nonrefundable_credits,income_tax_after_credits,tax_burden,tax_wedge,avg_effective_tax_rate,avg_effective_tax_rate_wo_payroll
9317,931800.0,0.0,0.0,0.0,931800.0,919800.0,standard,93532.5,0.0,0,313119.0,228541.0,228541.0,0,228541.0,0,0,0.0,228541.0,228541.0,228541.0,228541.0,0.2453,0.2453
9318,931900.0,0.0,0.0,0.0,931900.0,919900.0,standard,93541.25,0.0,0,313157.5,228568.5,228568.5,0,228568.5,0,0,0.0,228568.5,228568.5,228568.5,228568.5,0.2453,0.2453
9319,932000.0,0.0,0.0,0.0,932000.0,920000.0,standard,93550.0,0.0,0,313196.0,228596.0,228596.0,0,228596.0,0,0,0.0,228596.0,228596.0,228596.0,228596.0,0.2453,0.2453
9320,932100.0,0.0,0.0,0.0,932100.0,920100.0,standard,93558.75,0.0,0,313234.5,228623.5,228623.5,0,228623.5,0,0,0.0,228623.5,228623.5,228623.5,228623.5,0.2453,0.2453
9321,932200.0,0.0,0.0,0.0,932200.0,920200.0,standard,93567.5,0.0,0,313273.0,228651.0,228651.0,0,228651.0,0,0,0.0,228651.0,228651.0,228651.0,228651.0,0.2453,0.2453
9322,932300.0,0.0,0.0,0.0,932300.0,920300.0,standard,93576.25,0.0,0,313311.5,228678.5,228678.5,0,228678.5,0,0,0.0,228678.5,228678.5,228678.5,228678.5,0.2453,0.2453
9323,932400.0,0.0,0.0,0.0,932400.0,920400.0,standard,93585.0,0.0,0,313350.0,228706.0,228706.0,0,228706.0,0,0,0.0,228706.0,228706.0,228706.0,228706.0,0.2453,0.2453
9324,932500.0,0.0,0.0,0.0,932500.0,920500.0,standard,93593.75,0.0,0,313388.5,228733.5,228733.5,0,228733.5,0,0,0.0,228733.5,228733.5,228733.5,228733.5,0.2453,0.2453
9325,932600.0,0.0,0.0,0.0,932600.0,920600.0,standard,93602.5,0.0,0,313427.0,228761.0,228761.0,0,228761.0,0,0,0.0,228761.0,228761.0,228761.0,228761.0,0.2453,0.2453
9326,932700.0,0.0,0.0,0.0,932700.0,920700.0,standard,93611.25,0.0,0,313465.5,228788.5,228788.5,0,228788.5,0,0,0.0,228788.5,228788.5,228788.5,228788.5,0.2453,0.2453
